角色名,外文名,性别,立绘编号,文件名,文件链接,势力logo,出处,星级,内部编号,职业,分支,势力,出身地,上线时间,时装品牌,时装名
12F,12F,男性,1,立绘_12F_1.png,https://media.prts.wiki/6/61/%E7%AB%8B%E7%BB%98_12F_1.png,罗德岛,方舟干员,2,R303,术师,扩散术师,罗德岛,不明,2019-04-30,,
CONFESS-47,CONFESS-47,其他,1,立绘_CONFESS-47_1.png,https://media.prts.wiki/d/d0/%E7%AB%8B%E7%BB%98_CONFESS-47_1.png,拉特兰,方舟干员,1,LT47,先锋,尖兵,拉特兰,,2025-05-01,,
Friston-3,Friston-3,男性,1,立绘_Friston-3_1.png,https://media.prts.wiki/4/46/%E7%AB%8B%E7%BB%98_Friston-3_1.png,罗德岛,方舟干员,1,RCX5,重装,铁卫,罗德岛,,2023-05-22,,
Lancet-2,Lancet-2,女性,1,立绘_Lancet-2_1.png,https://media.prts.wiki/8/8e/%E7%AB%8B%E7%BB%98_Lancet-2_1.png,罗德岛,方舟干员,1,RCX2,医疗,医师,罗德岛,,2019-04-30,,
Miss.Christine,Miss.Christine,其他,1,立绘_Miss.Christine_1.png,https://media.prts.wiki/f/f0/%E7%AB%8B%E7%BB%98_Miss.Christine_1.png,维多利亚,方舟干员,5,MEOW,术师,本源术师,维多利亚,未知,2025-06-05,,
Miss.Christine,Miss.Christine,其他,2,立绘_Miss.Christine_2.png,https://media.prts.wiki/6/63/%E7%AB%8B%E7%BB%98_Miss.Christine_2.png,维多利亚,方舟干员,5,MEOW,术师,本源术师,维多利亚,未知,2025-06-05,,
Mon3tr,Mon3tr,女性,1,立绘_Mon3tr_1.png,https://media.prts.wiki/d/d7/%E7%AB%8B%E7%BB%98_Mon3tr_1.png,罗德岛,方舟干员,6,R003,医疗,链愈师,罗德岛,罗德岛,2025-04-07,,
Mon3tr,Mon3tr,女性,2,立绘_Mon3tr_2.png,https://media.prts.wiki/8/88/%E7%AB%8B%E7%BB%98_Mon3tr_2.png,罗德岛,方舟干员,6,R003,医疗,链愈师,罗德岛,罗德岛,2025-04-07,,
PhonoR-0,PhonoR-0,女性,1,立绘_PhonoR-0_1.png,https://media.prts.wiki/8/85/%E7%AB%8B%E7%BB%98_PhonoR-0_1.png,罗德岛,方舟干员,1,RCX6,辅助,巫役,罗德岛,,2024-05-01,,
PhonoR-0,PhonoR-0,女性,skin1,立绘_PhonoR-0_skin1.png,https://media.prts.wiki/2/2b/%E7%AB%8B%E7%BB%98_PhonoR-0_skin1.png,罗德岛,方舟干员,1,RCX6,辅助,巫役,罗德岛,,2024-05-01,斗争血脉,最初的颂歌
THRM-EX,Thermal-EX,男性,1,立绘_THRM-EX_1.png,https://media.prts.wiki/8/8a/%E7%AB%8B%E7%BB%98_THRM-EX_1.png,罗德岛,方舟干员,1,RCX4,特种,处决者,罗德岛,,2020-05-01,,
THRM-EX,Thermal-EX,男性,skin1,立绘_THRM-EX_skin1.png,https://media.prts.wiki/a/aa/%E7%AB%8B%E7%BB%98_THRM-EX_skin1.png,罗德岛,方舟干员,1,RCX4,特种,处决者,罗德岛,,2020-05-01,玛尔特,双料四分卫
U-Official,U-Official,女性,1,立绘_U-Official_1.png,https://media.prts.wiki/7/74/%E7%AB%8B%E7%BB%98_U-Official_1.png,罗德岛,方舟干员,1,U007,辅助,吟游者,罗德岛,未公开,2023-04-01,,
U-Official,U-Official,女性,skin1,立绘_U-Official_skin1.png,https://media.prts.wiki/3/39/%E7%AB%8B%E7%BB%98_U-Official_skin1.png,罗德岛,方舟干员,1,U007,辅助,吟游者,罗德岛,未公开,2023-04-01,合作款,云上直播间
W,W,女性,1,立绘_W_1.png,https://media.prts.wiki/4/44/%E7%AB%8B%E7%BB%98_W_1.png,巴别塔,方舟干员,6,B214,狙击,炮手,巴别塔,卡兹戴尔,2020-05-01,,
W,W,女性,2,立绘_W_2.png,https://media.prts.wiki/3/39/%E7%AB%8B%E7%BB%98_W_2.png,巴别塔,方舟干员,6,B214,狙击,炮手,巴别塔,卡兹戴尔,2020-05-01,,
W,W,女性,skin1,立绘_W_skin1.png,https://media.prts.wiki/a/a3/%E7%AB%8B%E7%BB%98_W_skin1.png,巴别塔,方舟干员,6,B214,狙击,炮手,巴别塔,卡兹戴尔,2020-05-01,时代,恍惚
万顷,Wanqing,男性,1,立绘_万顷_1.png,https://media.prts.wiki/7/76/%E7%AB%8B%E7%BB%98_%E4%B8%87%E9%A1%B7_1.png,炎,方舟干员,5,YD13,先锋,执旗手,炎,炎,2024-02-01,,
万顷,Wanqing,男性,2,立绘_万顷_2.png,https://media.prts.wiki/9/9e/%E7%AB%8B%E7%BB%98_%E4%B8%87%E9%A1%B7_2.png,炎,方舟干员,5,YD13,先锋,执旗手,炎,炎,2024-02-01,,
万顷,Wanqing,男性,skin1,立绘_万顷_skin1.png,https://media.prts.wiki/c/c6/%E7%AB%8B%E7%BB%98_%E4%B8%87%E9%A1%B7_skin1.png,炎,方舟干员,5,YD13,先锋,执旗手,炎,炎,2024-02-01,时代,万顷阳光
三角初华,Misumi Uika,女性,1,立绘_三角初华_1.png,https://media.prts.wiki/a/af/%E7%AB%8B%E7%BB%98_%E4%B8%89%E8%A7%92%E5%88%9D%E5%8D%8E_1.png,罗德岛,方舟干员,5,AM03,辅助,吟游者,Ave Mujica,未知,2025-09-04,,
三角初华,Misumi Uika,女性,2,立绘_三角初华_2.png,https://media.prts.wiki/1/1d/%E7%AB%8B%E7%BB%98_%E4%B8%89%E8%A7%92%E5%88%9D%E5%8D%8E_2.png,罗德岛,方舟干员,5,AM03,辅助,吟游者,Ave Mujica,未知,2025-09-04,,
三角初华,Misumi Uika,女性,skin1,立绘_三角初华_skin1.png,https://media.prts.wiki/5/5a/%E7%AB%8B%E7%BB%98_%E4%B8%89%E8%A7%92%E5%88%9D%E5%8D%8E_skin1.png,罗德岛,方舟干员,5,AM03,辅助,吟游者,Ave Mujica,未知,2025-09-04,合作款,笼中歌者
丰川祥子,Togawa Sakiko,女性,1,立绘_丰川祥子_1.png,https://media.prts.wiki/a/aa/%E7%AB%8B%E7%BB%98_%E4%B8%B0%E5%B7%9D%E7%A5%A5%E5%AD%90_1.png,罗德岛,方舟干员,6,AM01,近卫,领主,Ave Mujica,未知,2025-09-04,,
丰川祥子,Togawa Sakiko,女性,2,立绘_丰川祥子_2.png,https://media.prts.wiki/e/e1/%E7%AB%8B%E7%BB%98_%E4%B8%B0%E5%B7%9D%E7%A5%A5%E5%AD%90_2.png,罗德岛,方舟干员,6,AM01,近卫,领主,Ave Mujica,未知,2025-09-04,,
丰川祥子,Togawa Sakiko,女性,skin1,立绘_丰川祥子_skin1.png,https://media.prts.wiki/f/f4/%E7%AB%8B%E7%BB%98_%E4%B8%B0%E5%B7%9D%E7%A5%A5%E5%AD%90_skin1.png,罗德岛,方舟干员,6,AM01,近卫,领主,Ave Mujica,未知,2025-09-04,合作款,旋律的主人
临光,Nearl,女性,1,立绘_临光_1.png,https://media.prts.wiki/e/e4/%E7%AB%8B%E7%BB%98_%E4%B8%B4%E5%85%89_1.png,使徒,方舟干员,5,FO02,重装,守护者,使徒,卡西米尔,2019-04-30,,
临光,Nearl,女性,2,立绘_临光_2.png,https://media.prts.wiki/5/5f/%E7%AB%8B%E7%BB%98_%E4%B8%B4%E5%85%89_2.png,使徒,方舟干员,5,FO02,重装,守护者,使徒,卡西米尔,2019-04-30,,
临光,Nearl,女性,skin1,立绘_临光_skin1.png,https://media.prts.wiki/8/82/%E7%AB%8B%E7%BB%98_%E4%B8%B4%E5%85%89_skin1.png,使徒,方舟干员,5,FO02,重装,守护者,使徒,卡西米尔,2019-04-30,珊瑚海岸,灿阳朝露 SD01
乌啾,Укусик,女性,1,立绘_乌啾_1.png,https://media.prts.wiki/9/90/%E7%AB%8B%E7%BB%98_%E4%B9%8C%E5%95%BE_1.png,乌萨斯,方舟干员,5,US39,医疗,链愈师,乌萨斯,乌萨斯,2026-04-07,,
乌啾,Укусик,女性,2,立绘_乌啾_2.png,https://media.prts.wiki/7/7e/%E7%AB%8B%E7%BB%98_%E4%B9%8C%E5%95%BE_2.png,乌萨斯,方舟干员,5,US39,医疗,链愈师,乌萨斯,乌萨斯,2026-04-07,,
乌尔比安,Ulpianus,男性,1,立绘_乌尔比安_1.png,https://media.prts.wiki/1/11/%E7%AB%8B%E7%BB%98_%E4%B9%8C%E5%B0%94%E6%AF%94%E5%AE%89_1.png,深海猎人,方舟干员,6,AA00,近卫,重剑手,深海猎人,阿戈尔,2024-06-05,,
乌尔比安,Ulpianus,男性,2,立绘_乌尔比安_2.png,https://media.prts.wiki/e/e7/%E7%AB%8B%E7%BB%98_%E4%B9%8C%E5%B0%94%E6%AF%94%E5%AE%89_2.png,深海猎人,方舟干员,6,AA00,近卫,重剑手,深海猎人,阿戈尔,2024-06-05,,
乌尔比安,Ulpianus,男性,skin1,立绘_乌尔比安_skin1.png,https://media.prts.wiki/8/88/%E7%AB%8B%E7%BB%98_%E4%B9%8C%E5%B0%94%E6%AF%94%E5%AE%89_skin1.png,深海猎人,方舟干员,6,AA00,近卫,重剑手,深海猎人,阿戈尔,2024-06-05,时代,注目深渊
乌有,Mr.Nothing,男性,1,立绘_乌有_1.png,https://media.prts.wiki/b/bb/%E7%AB%8B%E7%BB%98_%E4%B9%8C%E6%9C%89_1.png,炎,方舟干员,5,YD11,特种,行商,炎,炎,2021-02-05,,
乌有,Mr.Nothing,男性,2,立绘_乌有_2.png,https://media.prts.wiki/6/68/%E7%AB%8B%E7%BB%98_%E4%B9%8C%E6%9C%89_2.png,炎,方舟干员,5,YD11,特种,行商,炎,炎,2021-02-05,,
乌有,Mr.Nothing,男性,skin1,立绘_乌有_skin1.png,https://media.prts.wiki/2/2f/%E7%AB%8B%E7%BB%98_%E4%B9%8C%E6%9C%89_skin1.png,炎,方舟干员,5,YD11,特种,行商,炎,炎,2021-02-05,0011™制造,冷山月
九色鹿,Nine-Colored Deer,女性,1,立绘_九色鹿_1.png,https://media.prts.wiki/5/5e/%E7%AB%8B%E7%BB%98_%E4%B9%9D%E8%89%B2%E9%B9%BF_1.png,炎,方舟干员,5,YD09,辅助,护佑者,炎,炎,2022-01-10,,
九色鹿,Nine-Colored Deer,女性,2,立绘_九色鹿_2.png,https://media.prts.wiki/b/b6/%E7%AB%8B%E7%BB%98_%E4%B9%9D%E8%89%B2%E9%B9%BF_2.png,炎,方舟干员,5,YD09,辅助,护佑者,炎,炎,2022-01-10,,
九色鹿,Nine-Colored Deer,女性,skin1,立绘_九色鹿_skin1.png,https://media.prts.wiki/2/24/%E7%AB%8B%E7%BB%98_%E4%B9%9D%E8%89%B2%E9%B9%BF_skin1.png,炎,方舟干员,5,YD09,辅助,护佑者,炎,炎,2022-01-10,合作款,古往今来的月
云迹,Contrail,女性,1,立绘_云迹_1.png,https://media.prts.wiki/c/ca/%E7%AB%8B%E7%BB%98_%E4%BA%91%E8%BF%B9_1.png,哥伦比亚,方舟干员,4,CB33,特种,巡空者,哥伦比亚,哥伦比亚,2024-11-01,,
云迹,Contrail,女性,2,立绘_云迹_2.png,https://media.prts.wiki/f/fd/%E7%AB%8B%E7%BB%98_%E4%BA%91%E8%BF%B9_2.png,哥伦比亚,方舟干员,4,CB33,特种,巡空者,哥伦比亚,哥伦比亚,2024-11-01,,
亚叶,Folinic,女性,1,立绘_亚叶_1.png,https://media.prts.wiki/5/5f/%E7%AB%8B%E7%BB%98_%E4%BA%9A%E5%8F%B6_1.png,罗德岛,方舟干员,5,R133,医疗,医师,罗德岛,乌萨斯,2020-07-09,,
亚叶,Folinic,女性,2,立绘_亚叶_2.png,https://media.prts.wiki/a/a7/%E7%AB%8B%E7%BB%98_%E4%BA%9A%E5%8F%B6_2.png,罗德岛,方舟干员,5,R133,医疗,医师,罗德岛,乌萨斯,2020-07-09,,
亚叶,Folinic,女性,skin1,立绘_亚叶_skin1.png,https://media.prts.wiki/3/32/%E7%AB%8B%E7%BB%98_%E4%BA%9A%E5%8F%B6_skin1.png,罗德岛,方舟干员,5,R133,医疗,医师,罗德岛,乌萨斯,2020-07-09,生命之地,残葛
仇白,Qiubai,女性,1,立绘_仇白_1.png,https://media.prts.wiki/6/60/%E7%AB%8B%E7%BB%98_%E4%BB%87%E7%99%BD_1.png,炎,方舟干员,6,YD20,近卫,领主,炎,炎,2023-02-14,,
仇白,Qiubai,女性,2,立绘_仇白_2.png,https://media.prts.wiki/4/4e/%E7%AB%8B%E7%BB%98_%E4%BB%87%E7%99%BD_2.png,炎,方舟干员,6,YD20,近卫,领主,炎,炎,2023-02-14,,
仇白,Qiubai,女性,skin1,立绘_仇白_skin1.png,https://media.prts.wiki/d/d8/%E7%AB%8B%E7%BB%98_%E4%BB%87%E7%99%BD_skin1.png,炎,方舟干员,6,YD20,近卫,领主,炎,炎,2023-02-14,合作款,霜林醉
仇白,Qiubai,女性,skin2,立绘_仇白_skin2.png,https://media.prts.wiki/7/77/%E7%AB%8B%E7%BB%98_%E4%BB%87%E7%99%BD_skin2.png,炎,方舟干员,6,YD20,近卫,领主,炎,炎,2023-02-14,时代,礼遇
令,Ling,女性,1,立绘_令_1.png,https://media.prts.wiki/d/df/%E7%AB%8B%E7%BB%98_%E4%BB%A4_1.png,炎-岁,方舟干员,6,NM03,辅助,召唤师,炎-岁,炎,2022-01-25,,
令,Ling,女性,2,立绘_令_2.png,https://media.prts.wiki/a/a3/%E7%AB%8B%E7%BB%98_%E4%BB%A4_2.png,炎-岁,方舟干员,6,NM03,辅助,召唤师,炎-岁,炎,2022-01-25,,
令,Ling,女性,skin1,立绘_令_skin1.png,https://media.prts.wiki/5/5e/%E7%AB%8B%E7%BB%98_%E4%BB%A4_skin1.png,炎-岁,方舟干员,6,NM03,辅助,召唤师,炎-岁,炎,2022-01-25,0011™制造,濯缨
令,Ling,女性,skin2,立绘_令_skin2.png,https://media.prts.wiki/7/70/%E7%AB%8B%E7%BB%98_%E4%BB%A4_skin2.png,炎-岁,方舟干员,6,NM03,辅助,召唤师,炎-岁,炎,2022-01-25,合作款,崖高梦远
令,Ling,女性,skin3,立绘_令_skin3.png,https://media.prts.wiki/e/e5/%E7%AB%8B%E7%BB%98_%E4%BB%A4_skin3.png,炎-岁,方舟干员,6,NM03,辅助,召唤师,炎-岁,炎,2022-01-25,0011™制造,方遒卷
伊内丝,Ines,女性,1,立绘_伊内丝_1.png,https://media.prts.wiki/0/07/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E5%86%85%E4%B8%9D_1.png,巴别塔,方舟干员,6,B215,先锋,情报官,巴别塔,卡兹戴尔,2023-04-06,,
伊内丝,Ines,女性,2,立绘_伊内丝_2.png,https://media.prts.wiki/3/35/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E5%86%85%E4%B8%9D_2.png,巴别塔,方舟干员,6,B215,先锋,情报官,巴别塔,卡兹戴尔,2023-04-06,,
伊内丝,Ines,女性,skin1,立绘_伊内丝_skin1.png,https://media.prts.wiki/2/2c/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E5%86%85%E4%B8%9D_skin1.png,巴别塔,方舟干员,6,B215,先锋,情报官,巴别塔,卡兹戴尔,2023-04-06,斗争血脉,燃烧天穹下
伊内丝,Ines,女性,skin2,立绘_伊内丝_skin2.png,https://media.prts.wiki/8/84/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E5%86%85%E4%B8%9D_skin2.png,巴别塔,方舟干员,6,B215,先锋,情报官,巴别塔,卡兹戴尔,2023-04-06,音律联觉,蝶舞华章
伊桑,Ethan,男性,1,立绘_伊桑_1.png,https://media.prts.wiki/e/e0/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E6%A1%91_1.png,罗德岛,方舟干员,4,R130,特种,伏击客,罗德岛,未公开,2019-11-01,,
伊桑,Ethan,男性,2,立绘_伊桑_2.png,https://media.prts.wiki/b/b6/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E6%A1%91_2.png,罗德岛,方舟干员,4,R130,特种,伏击客,罗德岛,未公开,2019-11-01,,
伊桑,Ethan,男性,skin1,立绘_伊桑_skin1.png,https://media.prts.wiki/e/ec/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E6%A1%91_skin1.png,罗德岛,方舟干员,4,R130,特种,伏击客,罗德岛,未公开,2019-11-01,时代,渗透
伊芙利特,Ifrit,女性,1,立绘_伊芙利特_1.png,https://media.prts.wiki/5/53/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E8%8A%99%E5%88%A9%E7%89%B9_1.png,莱茵生命,方舟干员,6,RL03,术师,轰击术师,莱茵生命,未公开,2019-04-30,,
伊芙利特,Ifrit,女性,2,立绘_伊芙利特_2.png,https://media.prts.wiki/f/f2/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E8%8A%99%E5%88%A9%E7%89%B9_2.png,莱茵生命,方舟干员,6,RL03,术师,轰击术师,莱茵生命,未公开,2019-04-30,,
伊芙利特,Ifrit,女性,skin1,立绘_伊芙利特_skin1.png,https://media.prts.wiki/3/3d/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E8%8A%99%E5%88%A9%E7%89%B9_skin1.png,莱茵生命,方舟干员,6,RL03,术师,轰击术师,莱茵生命,未公开,2019-04-30,珊瑚海岸,日晒 SS.SP
伊芙利特,Ifrit,女性,skin2,立绘_伊芙利特_skin2.png,https://media.prts.wiki/0/06/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E8%8A%99%E5%88%A9%E7%89%B9_skin2.png,莱茵生命,方舟干员,6,RL03,术师,轰击术师,莱茵生命,未公开,2019-04-30,合作款,儿童派对
伊芙利特,Ifrit,女性,skin3,立绘_伊芙利特_skin3.png,https://media.prts.wiki/7/77/%E7%AB%8B%E7%BB%98_%E4%BC%8A%E8%8A%99%E5%88%A9%E7%89%B9_skin3.png,莱茵生命,方舟干员,6,RL03,术师,轰击术师,莱茵生命,未公开,2019-04-30,合作款,轻松旅途
休谟斯,Humus,男性,1,立绘_休谟斯_1.png,https://media.prts.wiki/2/29/%E7%AB%8B%E7%BB%98_%E4%BC%91%E8%B0%9F%E6%96%AF_1.png,罗德岛,方舟干员,4,R171,近卫,收割者,罗德岛,哥伦比亚,2023-04-06,,
休谟斯,Humus,男性,2,立绘_休谟斯_2.png,https://media.prts.wiki/7/7f/%E7%AB%8B%E7%BB%98_%E4%BC%91%E8%B0%9F%E6%96%AF_2.png,罗德岛,方舟干员,4,R171,近卫,收割者,罗德岛,哥伦比亚,2023-04-06,,
休谟斯,Humus,男性,skin1,立绘_休谟斯_skin1.png,https://media.prts.wiki/f/f3/%E7%AB%8B%E7%BB%98_%E4%BC%91%E8%B0%9F%E6%96%AF_skin1.png,罗德岛,方舟干员,4,R171,近卫,收割者,罗德岛,哥伦比亚,2023-04-06,玛尔特,烈阳街景
伯塔尼,Ботани,女性,1,立绘_伯塔尼_1.png,https://media.prts.wiki/3/3b/%E7%AB%8B%E7%BB%98_%E4%BC%AF%E5%A1%94%E5%B0%BC_1.png,乌萨斯,方舟干员,5,US40,辅助,巫役,乌萨斯,乌萨斯,2026-04-07,,
伯塔尼,Ботани,女性,2,立绘_伯塔尼_2.png,https://media.prts.wiki/b/b3/%E7%AB%8B%E7%BB%98_%E4%BC%AF%E5%A1%94%E5%B0%BC_2.png,乌萨斯,方舟干员,5,US40,辅助,巫役,乌萨斯,乌萨斯,2026-04-07,,
伺夜,Vigil,男性,1,立绘_伺夜_1.png,https://media.prts.wiki/f/f1/%E7%AB%8B%E7%BB%98_%E4%BC%BA%E5%A4%9C_1.png,叙拉古,方舟干员,6,SR36,先锋,战术家,叙拉古,叙拉古,2022-11-01,,
伺夜,Vigil,男性,2,立绘_伺夜_2.png,https://media.prts.wiki/b/b5/%E7%AB%8B%E7%BB%98_%E4%BC%BA%E5%A4%9C_2.png,叙拉古,方舟干员,6,SR36,先锋,战术家,叙拉古,叙拉古,2022-11-01,,
伺夜,Vigil,男性,skin1,立绘_伺夜_skin1.png,https://media.prts.wiki/8/8a/%E7%AB%8B%E7%BB%98_%E4%BC%BA%E5%A4%9C_skin1.png,叙拉古,方舟干员,6,SR36,先锋,战术家,叙拉古,叙拉古,2022-11-01,时代,叙拉古的彼面
但书,Proviso,女性,1,立绘_但书_1.png,https://media.prts.wiki/c/c1/%E7%AB%8B%E7%BB%98_%E4%BD%86%E4%B9%A6_1.png,卡西米尔,方舟干员,5,KZ10,辅助,凝滞师,卡西米尔,卡西米尔,2022-09-08,,
但书,Proviso,女性,2,立绘_但书_2.png,https://media.prts.wiki/7/78/%E7%AB%8B%E7%BB%98_%E4%BD%86%E4%B9%A6_2.png,卡西米尔,方舟干员,5,KZ10,辅助,凝滞师,卡西米尔,卡西米尔,2022-09-08,,
但书,Proviso,女性,skin1,立绘_但书_skin1.png,https://media.prts.wiki/4/44/%E7%AB%8B%E7%BB%98_%E4%BD%86%E4%B9%A6_skin1.png,卡西米尔,方舟干员,5,KZ10,辅助,凝滞师,卡西米尔,卡西米尔,2022-09-08,生命之地,秋高气爽
但书,Proviso,女性,skin2,立绘_但书_skin2.png,https://media.prts.wiki/c/cb/%E7%AB%8B%E7%BB%98_%E4%BD%86%E4%B9%A6_skin2.png,卡西米尔,方舟干员,5,KZ10,辅助,凝滞师,卡西米尔,卡西米尔,2022-09-08,珊瑚海岸,悠然假日 HD78
余,Yu,男性,1,立绘_余_1.png,https://media.prts.wiki/5/50/%E7%AB%8B%E7%BB%98_%E4%BD%99_1.png,炎-岁,方舟干员,6,NM06,重装,本源铁卫,炎-岁,炎,2025-01-22,,
余,Yu,男性,2,立绘_余_2.png,https://media.prts.wiki/1/1a/%E7%AB%8B%E7%BB%98_%E4%BD%99_2.png,炎-岁,方舟干员,6,NM06,重装,本源铁卫,炎-岁,炎,2025-01-22,,
余,Yu,男性,skin1,立绘_余_skin1.png,https://media.prts.wiki/9/9b/%E7%AB%8B%E7%BB%98_%E4%BD%99_skin1.png,炎-岁,方舟干员,6,NM06,重装,本源铁卫,炎-岁,炎,2025-01-22,0011™制造,愿清晓
佩佩,Pepe,女性,1,立绘_佩佩_1.png,https://media.prts.wiki/7/72/%E7%AB%8B%E7%BB%98_%E4%BD%A9%E4%BD%A9_1.png,萨尔贡,方舟干员,6,SG14,近卫,撼地者,萨尔贡,萨尔贡,2024-08-01,,
佩佩,Pepe,女性,2,立绘_佩佩_2.png,https://media.prts.wiki/0/03/%E7%AB%8B%E7%BB%98_%E4%BD%A9%E4%BD%A9_2.png,萨尔贡,方舟干员,6,SG14,近卫,撼地者,萨尔贡,萨尔贡,2024-08-01,,
佩佩,Pepe,女性,skin1,立绘_佩佩_skin1.png,https://media.prts.wiki/7/71/%E7%AB%8B%E7%BB%98_%E4%BD%A9%E4%BD%A9_skin1.png,萨尔贡,方舟干员,6,SG14,近卫,撼地者,萨尔贡,萨尔贡,2024-08-01,错位巡礼,星移
信仰搅拌机,Sankta Miksaparato,男性,1,立绘_信仰搅拌机_1.png,https://media.prts.wiki/0/06/%E7%AB%8B%E7%BB%98_%E4%BF%A1%E4%BB%B0%E6%90%85%E6%8B%8C%E6%9C%BA_1.png,拉特兰,方舟干员,6,LT32,重装,哨戒铁卫,拉特兰,拉特兰,2025-05-01,,
信仰搅拌机,Sankta Miksaparato,男性,2,立绘_信仰搅拌机_2.png,https://media.prts.wiki/d/d5/%E7%AB%8B%E7%BB%98_%E4%BF%A1%E4%BB%B0%E6%90%85%E6%8B%8C%E6%9C%BA_2.png,拉特兰,方舟干员,6,LT32,重装,哨戒铁卫,拉特兰,拉特兰,2025-05-01,,
假日威龙陈,Ch'en the Holungday,女性,1,立绘_假日威龙陈_1.png,https://media.prts.wiki/b/b9/%E7%AB%8B%E7%BB%98_%E5%81%87%E6%97%A5%E5%A8%81%E9%BE%99%E9%99%88_1.png,罗德岛,方舟干员,6,R112,狙击,散射手,罗德岛,龙门,2021-08-03,,
假日威龙陈,Ch'en the Holungday,女性,2,立绘_假日威龙陈_2.png,https://media.prts.wiki/4/4e/%E7%AB%8B%E7%BB%98_%E5%81%87%E6%97%A5%E5%A8%81%E9%BE%99%E9%99%88_2.png,罗德岛,方舟干员,6,R112,狙击,散射手,罗德岛,龙门,2021-08-03,,
假日威龙陈,Ch'en the Holungday,女性,skin1,立绘_假日威龙陈_skin1.png,https://media.prts.wiki/f/f2/%E7%AB%8B%E7%BB%98_%E5%81%87%E6%97%A5%E5%A8%81%E9%BE%99%E9%99%88_skin1.png,罗德岛,方舟干员,6,R112,狙击,散射手,罗德岛,龙门,2021-08-03,斗争血脉,万重山
假日威龙陈,Ch'en the Holungday,女性,skin2,立绘_假日威龙陈_skin2.png,https://media.prts.wiki/f/f5/%E7%AB%8B%E7%BB%98_%E5%81%87%E6%97%A5%E5%A8%81%E9%BE%99%E9%99%88_skin2.png,罗德岛,方舟干员,6,R112,狙击,散射手,罗德岛,龙门,2021-08-03,珊瑚海岸,悠然假日 HD79
傀影,Phantom,男性,1,立绘_傀影_1.png,https://media.prts.wiki/3/32/%E7%AB%8B%E7%BB%98_%E5%82%80%E5%BD%B1_1.png,维多利亚,方舟干员,6,R109,特种,处决者,维多利亚,维多利亚,2020-04-21,,
傀影,Phantom,男性,2,立绘_傀影_2.png,https://media.prts.wiki/6/6f/%E7%AB%8B%E7%BB%98_%E5%82%80%E5%BD%B1_2.png,维多利亚,方舟干员,6,R109,特种,处决者,维多利亚,维多利亚,2020-04-21,,
傀影,Phantom,男性,skin1,立绘_傀影_skin1.png,https://media.prts.wiki/8/87/%E7%AB%8B%E7%BB%98_%E5%82%80%E5%BD%B1_skin1.png,维多利亚,方舟干员,6,R109,特种,处决者,维多利亚,维多利亚,2020-04-21,缠梦古堡,梦魇之梦
傀影,Phantom,男性,skin2,立绘_傀影_skin2.png,https://media.prts.wiki/e/e8/%E7%AB%8B%E7%BB%98_%E5%82%80%E5%BD%B1_skin2.png,维多利亚,方舟干员,6,R109,特种,处决者,维多利亚,维多利亚,2020-04-21,忒斯特收藏,焦点
克洛丝,Kroos,女性,1,立绘_克洛丝_1.png,https://media.prts.wiki/b/ba/%E7%AB%8B%E7%BB%98_%E5%85%8B%E6%B4%9B%E4%B8%9D_1.png,行动预备组A1,方舟干员,3,PA12,狙击,速射手,行动预备组A1,雷姆必拓,2019-04-30,,
克洛丝,Kroos,女性,skin1,立绘_克洛丝_skin1.png,https://media.prts.wiki/a/ab/%E7%AB%8B%E7%BB%98_%E5%85%8B%E6%B4%9B%E4%B8%9D_skin1.png,行动预备组A1,方舟干员,3,PA12,狙击,速射手,行动预备组A1,雷姆必拓,2019-04-30,巫异盛宴,魔术师
克洛丝,Kroos,女性,skin2,立绘_克洛丝_skin2.png,https://media.prts.wiki/1/1d/%E7%AB%8B%E7%BB%98_%E5%85%8B%E6%B4%9B%E4%B8%9D_skin2.png,行动预备组A1,方舟干员,3,PA12,狙击,速射手,行动预备组A1,雷姆必拓,2019-04-30,忒斯特收藏,星月漂流记
