角色名,外文名,性别,立绘编号,文件名,文件链接,势力logo,出处,星级,内部编号,职业,分支,势力,出身地,上线时间,时装品牌,时装名
Pith,Pith,女性,1,立绘_Pith_1.png,https://media.prts.wiki/e/e2/%E7%AB%8B%E7%BB%98_Pith_1.png,罗德岛,方舟特殊,,,术师,扩散术师,罗德岛,维多利亚,,,
Sharp,Sharp,男性,1,立绘_Sharp_1.png,https://media.prts.wiki/f/f3/%E7%AB%8B%E7%BB%98_Sharp_1.png,罗德岛,方舟特殊,,,近卫,无畏者,罗德岛,哥伦比亚,,,
Stormeye,Stormeye,男性,1,立绘_Stormeye_1.png,https://media.prts.wiki/5/51/%E7%AB%8B%E7%BB%98_Stormeye_1.png,罗德岛,方舟特殊,,,狙击,速射手,罗德岛,卡兹戴尔,,,
Touch,Touch,女性,1,立绘_Touch_1.png,https://media.prts.wiki/9/93/%E7%AB%8B%E7%BB%98_Touch_1.png,罗德岛,方舟特殊,,,医疗,医师,罗德岛,莱塔尼亚,,,
终曲阿米娅,Amiya the Furnace Finale,女性,1,立绘_终曲阿米娅_1.png,https://media.prts.wiki/6/63/%E7%AB%8B%E7%BB%98_%E7%BB%88%E6%9B%B2%E9%98%BF%E7%B1%B3%E5%A8%85_1.png,罗德岛,方舟特殊,,,,,,雷姆必拓,,,
终曲阿米娅,Amiya the Furnace Finale,女性,2,立绘_终曲阿米娅_2.png,https://media.prts.wiki/a/a7/%E7%AB%8B%E7%BB%98_%E7%BB%88%E6%9B%B2%E9%98%BF%E7%B1%B3%E5%A8%85_2.png,罗德岛,方舟特殊,,,,,,雷姆必拓,,,
郁金香,Tulip,女性,1,立绘_郁金香_1.png,https://media.prts.wiki/f/fa/%E7%AB%8B%E7%BB%98_%E9%83%81%E9%87%91%E9%A6%99_1.png,罗德岛,方舟特殊,,,先锋,尖兵,罗德岛,伊比利亚,,,
郁金香,Tulip,女性,2,立绘_郁金香_2.png,https://media.prts.wiki/7/74/%E7%AB%8B%E7%BB%98_%E9%83%81%E9%87%91%E9%A6%99_2.png,罗德岛,方舟特殊,,,先锋,尖兵,罗德岛,伊比利亚,,,
预备干员-后勤,,女性,1,立绘_预备干员-后勤_1.png,https://media.prts.wiki/4/42/%E7%AB%8B%E7%BB%98_%E9%A2%84%E5%A4%87%E5%B9%B2%E5%91%98-%E5%90%8E%E5%8B%A4_1.png,罗德岛,方舟特殊,,,医疗,医师,罗德岛,,,,
预备干员-术师,,女性,1,立绘_预备干员-术师_1.png,https://media.prts.wiki/6/6a/%E7%AB%8B%E7%BB%98_%E9%A2%84%E5%A4%87%E5%B9%B2%E5%91%98-%E6%9C%AF%E5%B8%88_1.png,罗德岛,方舟特殊,,,术师,中坚术师,罗德岛,,,,
预备干员-狙击,,男性,1,立绘_预备干员-狙击_1.png,https://media.prts.wiki/9/9f/%E7%AB%8B%E7%BB%98_%E9%A2%84%E5%A4%87%E5%B9%B2%E5%91%98-%E7%8B%99%E5%87%BB_1.png,罗德岛,方舟特殊,,,狙击,速射手,罗德岛,,,,
